reaction number,reaction,reaction rate,description,simplified_reaction,simplified_reaction_rate,equations,simplified_equations
113,Lymph_Node.mAPC_Int_P2 -> Lymph_Node.mAPC_Int_P2_PDL2 + Lymph_Node.mAPC_Int_P2,[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.mAPC_PDL2*(Lymph_Node.mAPC_Int_P2/(Lymph_Node.mAPC+1E-100*mole))*(1/T_cells_per_mAPC),PD-L2 expression by mAPCs that interact with Primed Naive T cells in the lymph node,delta.MT -> delta.MY + delta.MT,Exp_CD28/80/86/PD1/L1/L2*delta.NB*(delta.MT/(delta.ML+1E-100*mole))*(1/T_cells_per_mAPC),-Lymph_Node.mAPC_Int_P2  =  Lymph_Node.mAPC_Int_P2_PDL2  =  Lymph_Node.mAPC_Int_P2 = [Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.mAPC_PDL2*(Lymph_Node.mAPC_Int_P2/(Lymph_Node.mAPC+1E-100*mole))*(1/T_cells_per_mAPC),-delta.MT  =  delta.MY  =  delta.MT = Exp_CD28/80/86/PD1/L1/L2*delta.NB*(delta.MT/(delta.ML+1E-100*mole))*(1/T_cells_per_mAPC)
114,Lymph_Node.mAPC_Int_P2_CD80 + Lymph_Node.PNT_CTLA4 <-> Lymph_Node.NEG_Sig_PNT_CD80,[kon_CTLA4_CD80]*Lymph_Node.mAPC_Int_P2_CD80*Lymph_Node.PNT_CTLA4/([Volume_PNT-Receptor_Int])-[koff_CTLA4_CD80]*Lymph_Node.NEG_Sig_PNT_CD80,Interaction at the immunological synapse between CD80 on mAPCs and CTLA-4 on Primed Naïve T cells in the lymph node,delta.MU + delta.GU <-> delta.EK,kon_CTLA4_CD80*delta.MU*delta.GU/(Volume_PNT-Receptor_Int)-koff_CTLA4_CD80*delta.EK,-Lymph_Node.mAPC_Int_P2_CD80  = - Lymph_Node.PNT_CTLA4  =  Lymph_Node.NEG_Sig_PNT_CD80 = [kon_CTLA4_CD80]*Lymph_Node.mAPC_Int_P2_CD80*Lymph_Node.PNT_CTLA4/([Volume_PNT-Receptor_Int])-[koff_CTLA4_CD80]*Lymph_Node.NEG_Sig_PNT_CD80,-delta.MU  = - delta.GU  =  delta.EK = kon_CTLA4_CD80*delta.MU*delta.GU/(Volume_PNT-Receptor_Int)-koff_CTLA4_CD80*delta.EK
115,Lymph_Node.mAPC_Int_P2_CD80 + Lymph_Node.PNT_Int_PDL1 <-> Lymph_Node.[PNT_PDL1-CD80],[kon_PDL1_CD80]*Lymph_Node.mAPC_Int_P2_CD80*Lymph_Node.PNT_Int_PDL1/[Volume_PNT-Receptor_Int]-[koff_PDL1_CD80]*Lymph_Node.[PNT_PDL1-CD80],Interaction at the immunological synapse between CD80 on mAPCs and PD-L1 on Primed Naïve T cells in the lymph node,delta.MU + delta.GY <-> delta.HB,kon_PDL1_CD80*delta.MU*delta.GY/Volume_PNT-Receptor_Int-koff_PDL1_CD80*delta.HB,-Lymph_Node.mAPC_Int_P2_CD80  = - Lymph_Node.PNT_Int_PDL1  =  Lymph_Node.[PNT_PDL1-CD80] = [kon_PDL1_CD80]*Lymph_Node.mAPC_Int_P2_CD80*Lymph_Node.PNT_Int_PDL1/[Volume_PNT-Receptor_Int]-[koff_PDL1_CD80]*Lymph_Node.[PNT_PDL1-CD80],-delta.MU  = - delta.GY  =  delta.HB = kon_PDL1_CD80*delta.MU*delta.GY/Volume_PNT-Receptor_Int-koff_PDL1_CD80*delta.HB
116,Lymph_Node.mAPC_Int_P2_CD80 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_CD80+NEG_Sig_PNT_CD80+POS_Sig_PNT_CD80+[PNT_PDL1-CD80]),CD80 expression threshold on mAPCs for interaction with Primed Naive T cells in the lymph node,delta.MU -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.MU+EK+HF+HB),-Lymph_Node.mAPC_Int_P2_CD80  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_CD80+NEG_Sig_PNT_CD80+POS_Sig_PNT_CD80+[PNT_PDL1-CD80]),-delta.MU  =  Exp_CD28/80/86/PD1/L1/L2*(delta.MU+EK+HF+HB)
117,Lymph_Node.mAPC_Int_P2_CD86 + Lymph_Node.PNT_CTLA4 <-> Lymph_Node.NEG_Sig_PNT_CD86,[kon_CTLA4_CD86]*Lymph_Node.mAPC_Int_P2_CD86*Lymph_Node.PNT_CTLA4/([Volume_PNT-Receptor_Int])-[koff_CTLA4_CD86]*Lymph_Node.NEG_Sig_PNT_CD86,Interaction at the immunological synapse between CD86 on mAPCs and CTLA-4 on Primed Naïve T cells in the lymph node,delta.MV + delta.GU <-> delta.EL,kon_CTLA4_CD86*delta.MV*delta.GU/(Volume_PNT-Receptor_Int)-koff_CTLA4_CD86*delta.EL,-Lymph_Node.mAPC_Int_P2_CD86  = - Lymph_Node.PNT_CTLA4  =  Lymph_Node.NEG_Sig_PNT_CD86 = [kon_CTLA4_CD86]*Lymph_Node.mAPC_Int_P2_CD86*Lymph_Node.PNT_CTLA4/([Volume_PNT-Receptor_Int])-[koff_CTLA4_CD86]*Lymph_Node.NEG_Sig_PNT_CD86,-delta.MV  = - delta.GU  =  delta.EL = kon_CTLA4_CD86*delta.MV*delta.GU/(Volume_PNT-Receptor_Int)-koff_CTLA4_CD86*delta.EL
118,Lymph_Node.mAPC_Int_P2_CD86 + Lymph_Node.PNT_Int_CD28 <-> Lymph_Node.POS_Sig_PNT_CD86,[kon_CD28_CD86]*Lymph_Node.mAPC_Int_P2_CD86*Lymph_Node.PNT_Int_CD28/([Volume_PNT-Receptor_Int])-[koff_CD28_CD86]*Lymph_Node.POS_Sig_PNT_CD86,Interaction at the immunological synapse between CD86 on mAPCs and CD28 on Primed Naïve T cells in the lymph node,delta.MV + delta.GV <-> delta.HG,kon_CD28_CD86*delta.MV*delta.GV/(Volume_PNT-Receptor_Int)-koff_CD28_CD86*delta.HG,-Lymph_Node.mAPC_Int_P2_CD86  = - Lymph_Node.PNT_Int_CD28  =  Lymph_Node.POS_Sig_PNT_CD86 = [kon_CD28_CD86]*Lymph_Node.mAPC_Int_P2_CD86*Lymph_Node.PNT_Int_CD28/([Volume_PNT-Receptor_Int])-[koff_CD28_CD86]*Lymph_Node.POS_Sig_PNT_CD86,-delta.MV  = - delta.GV  =  delta.HG = kon_CD28_CD86*delta.MV*delta.GV/(Volume_PNT-Receptor_Int)-koff_CD28_CD86*delta.HG
119,Lymph_Node.mAPC_Int_P2_CD86 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_CD86+NEG_Sig_PNT_CD86+POS_Sig_PNT_CD86),CD86 expression threshold on mAPCs for interaction with Primed Naive T cells in the lymph node,delta.MV -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.MV+EL+HG),-Lymph_Node.mAPC_Int_P2_CD86  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_CD86+NEG_Sig_PNT_CD86+POS_Sig_PNT_CD86),-delta.MV  =  Exp_CD28/80/86/PD1/L1/L2*(delta.MV+EL+HG)
120,Lymph_Node.mAPC_Int_P2_PD1 + Lymph_Node.PD1_mab <-> Lymph_Node.PD1mAb_mAPC_PD1,[kon_PD1-PD1mAb]*Lymph_Node.mAPC_Int_P2_PD1*Lymph_Node.PD1_mab/Vtdln-[koff_PD1-PD1mAb]*[PD1mAb_mAPC_PD1],Interaction at the immunological synapse between PD-1 on mAPCs cells during priming interactions with Primed Naïve T cells and Anti-PD-1 mAb in the lymph node,delta.MW + delta.FD <-> delta.FN,kon_PD1-PD1mAb*delta.MW*delta.FD/Vtdln-koff_PD1-PD1mAb*FN,-Lymph_Node.mAPC_Int_P2_PD1  = - Lymph_Node.PD1_mab  =  Lymph_Node.PD1mAb_mAPC_PD1 = [kon_PD1-PD1mAb]*Lymph_Node.mAPC_Int_P2_PD1*Lymph_Node.PD1_mab/Vtdln-[koff_PD1-PD1mAb]*[PD1mAb_mAPC_PD1],-delta.MW  = - delta.FD  =  delta.FN = kon_PD1-PD1mAb*delta.MW*delta.FD/Vtdln-koff_PD1-PD1mAb*FN
121,Lymph_Node.mAPC_Int_P2_PD1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_PD1+PD1mAb_mAPC_PD1+[PNT_PDL1-PD1]),PD-1 expression threshold on mAPCs for interaction with Primed Naive T cells in the lymph node,delta.MW -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.MW+FN+HC),-Lymph_Node.mAPC_Int_P2_PD1  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_PD1+PD1mAb_mAPC_PD1+[PNT_PDL1-PD1]),-delta.MW  =  Exp_CD28/80/86/PD1/L1/L2*(delta.MW+FN+HC)
122,Lymph_Node.mAPC_Int_P2_PDL1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_PDL1+[PDL1mAb-mAPC_PDL1]+[PNT_PD1-PDL1]+[PNT_CD80-PDL1]),PD-L1 expression threshold on mAPCs for interaction with Primed Naive T cells in the lymph node,delta.MX -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.MX+GL+GZ+GT),-Lymph_Node.mAPC_Int_P2_PDL1  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_PDL1+[PDL1mAb-mAPC_PDL1]+[PNT_PD1-PDL1]+[PNT_CD80-PDL1]),-delta.MX  =  Exp_CD28/80/86/PD1/L1/L2*(delta.MX+GL+GZ+GT)
123,Lymph_Node.mAPC_Int_P2_PDL2 + Lymph_Node.PNT_Int_PD1 <-> Lymph_Node.[PNT_PD1-PDL2],[kon_PD1_PDL2]*Lymph_Node.mAPC_Int_P2_PDL2*Lymph_Node.PNT_Int_PD1/[Volume_PNT-Receptor_Int]-[koff_PD1_PDL2]*Lymph_Node.[PNT_PD1-PDL2],Interaction at the immunological synapse between PD-L2 on mAPCs and PD-1 on Primed Naive T cells in the lymph node,delta.MY + delta.GX <-> delta.HA,kon_PD1_PDL2*delta.MY*delta.GX/Volume_PNT-Receptor_Int-koff_PD1_PDL2*delta.HA,-Lymph_Node.mAPC_Int_P2_PDL2  = - Lymph_Node.PNT_Int_PD1  =  Lymph_Node.[PNT_PD1-PDL2] = [kon_PD1_PDL2]*Lymph_Node.mAPC_Int_P2_PDL2*Lymph_Node.PNT_Int_PD1/[Volume_PNT-Receptor_Int]-[koff_PD1_PDL2]*Lymph_Node.[PNT_PD1-PDL2],-delta.MY  = - delta.GX  =  delta.HA = kon_PD1_PDL2*delta.MY*delta.GX/Volume_PNT-Receptor_Int-koff_PD1_PDL2*delta.HA
124,Lymph_Node.mAPC_Int_P2_PDL2 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_PDL2+[PNT_PD1-PDL2]),PD-L2 expression threshold on mAPCs for interaction with Primed Naive T cells in the lymph node,delta.MY -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.MY+HA),-Lymph_Node.mAPC_Int_P2_PDL2  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_PDL2+[PNT_PD1-PDL2]),-delta.MY  =  Exp_CD28/80/86/PD1/L1/L2*(delta.MY+HA)
125,Lymph_Node.mAPC_PD1 -> null,Exp_All_mAPCLN*Lymph_Node.mAPC_PD1,PD-1 expression threshold on total mAPCs in the lymph node,delta.MZ -> null,Exp_All_mAPCLN*delta.MZ,-Lymph_Node.mAPC_PD1  =  Exp_All_mAPCLN*Lymph_Node.mAPC_PD1,-delta.MZ  =  Exp_All_mAPCLN*delta.MZ
126,Lymph_Node.mAPC_PDL1 -> null,Exp_All_mAPCLN*Lymph_Node.mAPC_PDL1,PD-L1 expression threshold on total mAPCs in the lymph node,delta.NA -> null,Exp_All_mAPCLN*delta.NA,-Lymph_Node.mAPC_PDL1  =  Exp_All_mAPCLN*Lymph_Node.mAPC_PDL1,-delta.NA  =  Exp_All_mAPCLN*delta.NA
127,Lymph_Node.mAPC_PDL2 -> null,Exp_All_mAPCLN*Lymph_Node.mAPC_PDL2,PD-L2 expression threshold on total mAPCs in the lymph node,delta.NB -> null,Exp_All_mAPCLN*delta.NB,-Lymph_Node.mAPC_PDL2  =  Exp_All_mAPCLN*Lymph_Node.mAPC_PDL2,-delta.NB  =  Exp_All_mAPCLN*delta.NB
128,Lymph_Node.Naive_T -> Lymph_Node.Naive_T1,PrimeNT_rate*Lymph_Node.Naive_T*[Prob_NT-mAPC_Interact]*[Sig_NT=CD28],Engagement of Naive T cells in the first priming phase in the lymph node,delta.EO -> delta.EQ,PrimeNT_rate*delta.EO*Prob_NT-mAPC_Interact*Sig_NT=CD28,-Lymph_Node.Naive_T  =  Lymph_Node.Naive_T1 = PrimeNT_rate*Lymph_Node.Naive_T*[Prob_NT-mAPC_Interact]*[Sig_NT=CD28],-delta.EO  =  delta.EQ = PrimeNT_rate*delta.EO*Prob_NT-mAPC_Interact*Sig_NT=CD28
129,Lymph_Node.Naive_T -> null,EffT_InOutLN*Lymph_Node.Naive_T,Naive T cells cycling out of the lymph node,delta.EO -> null,EffT_InOutLN*delta.EO,-Lymph_Node.Naive_T  =  EffT_InOutLN*Lymph_Node.Naive_T,-delta.EO  =  EffT_InOutLN*delta.EO
130,Lymph_Node.Naive_T1 -> Lymph_Node.Naive_T,PrimeNT1_rate*Lymph_Node.Naive_T1*(1/Antigen_Intensity)*((mAPC_Int_P1)/(mAPC_Int_P1+Naive_T1*mAPC50_per_T_cell+0.001*mole)),Naive T cells being disengaged in the first priming phase without undergoing successful priming in the lymph node,delta.EQ -> delta.EO,PrimeNT1_rate*delta.EQ*(1/Antigen_Intensity)*((MQ)/(MQ+EQ*mAPC50_per_T_cell+0.001*mole)),-Lymph_Node.Naive_T1  =  Lymph_Node.Naive_T = PrimeNT1_rate*Lymph_Node.Naive_T1*(1/Antigen_Intensity)*((mAPC_Int_P1)/(mAPC_Int_P1+Naive_T1*mAPC50_per_T_cell+0.001*mole)),-delta.EQ  =  delta.EO = PrimeNT1_rate*delta.EQ*(1/Antigen_Intensity)*((MQ)/(MQ+EQ*mAPC50_per_T_cell+0.001*mole))
131,Lymph_Node.Naive_T1 -> Lymph_Node.Primed_Naive_T,PrimeNT1_rate*Lymph_Node.Naive_T1*Antigen_Intensity*((mAPC_Int_P1)/(mAPC_Int_P1+Naive_T1*mAPC50_per_T_cell+0.001*mole)),Naive T cells successfully undergoing the first priming phase in the lymph node,delta.EQ -> delta.HH,PrimeNT1_rate*delta.EQ*Antigen_Intensity*((MQ)/(MQ+EQ*mAPC50_per_T_cell+0.001*mole)),-Lymph_Node.Naive_T1  =  Lymph_Node.Primed_Naive_T = PrimeNT1_rate*Lymph_Node.Naive_T1*Antigen_Intensity*((mAPC_Int_P1)/(mAPC_Int_P1+Naive_T1*mAPC50_per_T_cell+0.001*mole)),-delta.EQ  =  delta.HH = PrimeNT1_rate*delta.EQ*Antigen_Intensity*((MQ)/(MQ+EQ*mAPC50_per_T_cell+0.001*mole))
132,Lymph_Node.NEG_Sig_PNT_CD80 -> null,Endo_CTLA4*Lymph_Node.NEG_Sig_PNT_CD80,Transendocytosis of the CD80 receptors on mAPCs through CTLA-4 binding and internalization on Primed Naive T cells in the lymph node,delta.EK -> null,Endo_CTLA4*delta.EK,-Lymph_Node.NEG_Sig_PNT_CD80  =  Endo_CTLA4*Lymph_Node.NEG_Sig_PNT_CD80,-delta.EK  =  Endo_CTLA4*delta.EK
133,Lymph_Node.NEG_Sig_PNT_CD86 -> null,Endo_CTLA4*Lymph_Node.NEG_Sig_PNT_CD86,Transendocytosis of the CD86 receptors on mAPCs through CTLA-4 binding and internalization on Primed Naive T cells in the lymph node,delta.EL -> null,Endo_CTLA4*delta.EL,-Lymph_Node.NEG_Sig_PNT_CD86  =  Endo_CTLA4*Lymph_Node.NEG_Sig_PNT_CD86,-delta.EL  =  Endo_CTLA4*delta.EL
134,Lymph_Node.NT_Int_CD28 + Lymph_Node.mAPC_Int_P1_CD80 <-> Lymph_Node.POS_Sig_NT_CD80,[kon_CD28_CD80]*Lymph_Node.NT_Int_CD28*Lymph_Node.mAPC_Int_P1_CD80/[Volume_NT-Receptor_Int] -[koff_CD28_CD80]*Lymph_Node.POS_Sig_NT_CD80,Interaction at the immunological synapse between CD80 on mAPCs cells and CD28 on Naive T cells in the lymph node,delta.EN + delta.MR <-> delta.HD,kon_CD28_CD80*delta.EN*delta.MR/Volume_NT-Receptor_Int -koff_CD28_CD80*delta.HD,-Lymph_Node.NT_Int_CD28  = - Lymph_Node.mAPC_Int_P1_CD80  =  Lymph_Node.POS_Sig_NT_CD80 = [kon_CD28_CD80]*Lymph_Node.NT_Int_CD28*Lymph_Node.mAPC_Int_P1_CD80/[Volume_NT-Receptor_Int] -[koff_CD28_CD80]*Lymph_Node.POS_Sig_NT_CD80,-delta.EN  = - delta.MR  =  delta.HD = kon_CD28_CD80*delta.EN*delta.MR/Volume_NT-Receptor_Int -koff_CD28_CD80*delta.HD
135,Lymph_Node.NT_Int_CD28 + Lymph_Node.mAPC_Int_P1_CD86 <-> Lymph_Node.POS_Sig_NT_CD86,[kon_CD28_CD86]*Lymph_Node.NT_Int_CD28*Lymph_Node.mAPC_Int_P1_CD86/[Volume_NT-Receptor_Int] -[koff_CD28_CD86]*Lymph_Node.POS_Sig_NT_CD86,Interaction at the immunological synapse between CD86 on mAPCs cells and CD28 on Naive T cells in the lymph node,delta.EN + delta.MS <-> delta.HE,kon_CD28_CD86*delta.EN*delta.MS/Volume_NT-Receptor_Int -koff_CD28_CD86*delta.HE,-Lymph_Node.NT_Int_CD28  = - Lymph_Node.mAPC_Int_P1_CD86  =  Lymph_Node.POS_Sig_NT_CD86 = [kon_CD28_CD86]*Lymph_Node.NT_Int_CD28*Lymph_Node.mAPC_Int_P1_CD86/[Volume_NT-Receptor_Int] -[koff_CD28_CD86]*Lymph_Node.POS_Sig_NT_CD86,-delta.EN  = - delta.MS  =  delta.HE = kon_CD28_CD86*delta.EN*delta.MS/Volume_NT-Receptor_Int -koff_CD28_CD86*delta.HE
136,Lymph_Node.NT_Int_CD28 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.NT_Int_CD28+POS_Sig_NT_CD80+POS_Sig_NT_CD86),CD28 expression threshold on Naive T cells in the lymph node,delta.EN -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.EN+HD+HE),-Lymph_Node.NT_Int_CD28  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.NT_Int_CD28+POS_Sig_NT_CD80+POS_Sig_NT_CD86),-delta.EN  =  Exp_CD28/80/86/PD1/L1/L2*(delta.EN+HD+HE)
137,Lymph_Node.NT1_Int1 -> Lymph_Node.NT1_Int1 + Lymph_Node.NT_Int_CD28,[Exp_CD28/80/86/PD1/L1/L2]*(([CD28_receptors-per-Tcell]/[Avagadro's_Num]))*(mAPC_Int_P1/(mAPC_per_T_cell)),Naive T cells expressing CD28 in the lymph node,delta.EM -> delta.EM + delta.EN,Exp_CD28/80/86/PD1/L1/L2*((CD28_receptors-per-Tcell/Avagadro's_Num))*(MQ/(mAPC_per_T_cell)),-Lymph_Node.NT1_Int1  =  Lymph_Node.NT1_Int1  =  Lymph_Node.NT_Int_CD28 = [Exp_CD28/80/86/PD1/L1/L2]*(([CD28_receptors-per-Tcell]/[Avagadro's_Num]))*(mAPC_Int_P1/(mAPC_per_T_cell)),-delta.EM  =  delta.EM  =  delta.EN = Exp_CD28/80/86/PD1/L1/L2*((CD28_receptors-per-Tcell/Avagadro's_Num))*(MQ/(mAPC_per_T_cell))
138,Lymph_Node.PD1_mab -> [Blood-Lymph].PD1_mabb,Q_L/VL*Lymph_Node.PD1_mab,Lymph return of Anti-PD-1 to the blood,delta.FD -> alpha.FJ,Q_L/VL*delta.FD,-Lymph_Node.PD1_mab  =  [Blood-Lymph].PD1_mabb = Q_L/VL*Lymph_Node.PD1_mab,-delta.FD  =  alpha.FJ = Q_L/VL*delta.FD
139,Lymph_Node.PDL1_mab -> [Blood-Lymph].PDL1_mabb,Q_L/VL*Lymph_Node.PDL1_mab,Lymph return of Anti-PD-L1 to the blood,delta.GB -> alpha.GH,Q_L/VL*delta.GB,-Lymph_Node.PDL1_mab  =  [Blood-Lymph].PDL1_mabb = Q_L/VL*Lymph_Node.PDL1_mab,-delta.GB  =  alpha.GH = Q_L/VL*delta.GB
140,Lymph_Node.PDL1_mab + Lymph_Node.mAPC_Int_P2_PDL1 <-> Lymph_Node.[PDL1mAb-mAPC_PDL1],[kon_PDL1-PDL1mAb]*Lymph_Node.PDL1_mab*Lymph_Node.mAPC_Int_P2_PDL1/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.[PDL1mAb-mAPC_PDL1],Interaction at the immunological synapse between PD-L1 on mAPCs involved in the second priming phase and Anti-PD-L1 mAb in the lymph node,delta.GB + delta.MX <-> delta.GL,kon_PDL1-PDL1mAb*delta.GB*delta.MX/Vtdln - koff_PDL1-PDL1mAb*delta.GL,-Lymph_Node.PDL1_mab  = - Lymph_Node.mAPC_Int_P2_PDL1  =  Lymph_Node.[PDL1mAb-mAPC_PDL1] = [kon_PDL1-PDL1mAb]*Lymph_Node.PDL1_mab*Lymph_Node.mAPC_Int_P2_PDL1/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.[PDL1mAb-mAPC_PDL1],-delta.GB  = - delta.MX  =  delta.GL = kon_PDL1-PDL1mAb*delta.GB*delta.MX/Vtdln - koff_PDL1-PDL1mAb*delta.GL
141,Lymph_Node.PDL1_mab + Lymph_Node.PNT_Int_PDL1 <-> Lymph_Node.[PDL1mAb-PNT_PDL1],[kon_PDL1-PDL1mAb]*Lymph_Node.PDL1_mab*Lymph_Node.PNT_Int_PDL1/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.[PDL1mAb-PNT_PDL1],Interaction at the immunological synapse between PD-L1 on Primed Naive T cells involved in the second priming phase with mAPCs and Anti-PD-L1 mAb in the lymph node,delta.GB + delta.GY <-> delta.GK,kon_PDL1-PDL1mAb*delta.GB*delta.GY/Vtdln - koff_PDL1-PDL1mAb*delta.GK,-Lymph_Node.PDL1_mab  = - Lymph_Node.PNT_Int_PDL1  =  Lymph_Node.[PDL1mAb-PNT_PDL1] = [kon_PDL1-PDL1mAb]*Lymph_Node.PDL1_mab*Lymph_Node.PNT_Int_PDL1/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.[PDL1mAb-PNT_PDL1],-delta.GB  = - delta.GY  =  delta.GK = kon_PDL1-PDL1mAb*delta.GB*delta.GY/Vtdln - koff_PDL1-PDL1mAb*delta.GK
142,Lymph_Node.PNT_CTLA4 -> null,[Exp_CTLA4]*(Lymph_Node.PNT_CTLA4+NEG_Sig_PNT_CD80+[NEG_Sig_PNT_CD86]+[CTLA4_mAb_CTLA4]),CTLA-4 expression threshold on Primed Naive T cells for interaction with mAPCs in the lymph node,delta.GU -> null,Exp_CTLA4*(delta.GU+EK+EL+CC),-Lymph_Node.PNT_CTLA4  =  [Exp_CTLA4]*(Lymph_Node.PNT_CTLA4+NEG_Sig_PNT_CD80+[NEG_Sig_PNT_CD86]+[CTLA4_mAb_CTLA4]),-delta.GU  =  Exp_CTLA4*(delta.GU+EK+EL+CC)
143,Lymph_Node.PNT_Int_CD28 + Lymph_Node.mAPC_Int_P2_CD80 <-> Lymph_Node.POS_Sig_PNT_CD80,[kon_CD28_CD80]*Lymph_Node.PNT_Int_CD28*Lymph_Node.mAPC_Int_P2_CD80/([Volume_PNT-Receptor_Int])-[koff_CD28_CD80]*Lymph_Node.POS_Sig_PNT_CD80,Interaction at the immunological synapse between CD80 on mAPCs and CD28 on Primed Naive T cells in the lymph node,delta.GV + delta.MU <-> delta.HF,kon_CD28_CD80*delta.GV*delta.MU/(Volume_PNT-Receptor_Int)-koff_CD28_CD80*delta.HF,-Lymph_Node.PNT_Int_CD28  = - Lymph_Node.mAPC_Int_P2_CD80  =  Lymph_Node.POS_Sig_PNT_CD80 = [kon_CD28_CD80]*Lymph_Node.PNT_Int_CD28*Lymph_Node.mAPC_Int_P2_CD80/([Volume_PNT-Receptor_Int])-[koff_CD28_CD80]*Lymph_Node.POS_Sig_PNT_CD80,-delta.GV  = - delta.MU  =  delta.HF = kon_CD28_CD80*delta.GV*delta.MU/(Volume_PNT-Receptor_Int)-koff_CD28_CD80*delta.HF
144,Lymph_Node.PNT_Int_CD28 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_CD28+POS_Sig_PNT_CD80+POS_Sig_PNT_CD86),CD28 expression threshold on Primed Naive T cells for interaction with mAPCs in the lymph node,delta.GV -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.GV+HF+HG),-Lymph_Node.PNT_Int_CD28  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_CD28+POS_Sig_PNT_CD80+POS_Sig_PNT_CD86),-delta.GV  =  Exp_CD28/80/86/PD1/L1/L2*(delta.GV+HF+HG)
145,Lymph_Node.PNT_Int_CD80 + Lymph_Node.mAPC_Int_P2_PDL1 <-> Lymph_Node.[PNT_CD80-PDL1],[kon_PDL1_CD80]*Lymph_Node.PNT_Int_CD80*Lymph_Node.mAPC_Int_P2_PDL1/[Volume_PNT-Receptor_Int]-[koff_PDL1_CD80]*Lymph_Node.[PNT_CD80-PDL1],Interaction at the immunological synapse between PD-L1 on mAPCs and CD80 on Primed Naive T cells in the lymph node,delta.GW + delta.MX <-> delta.GT,kon_PDL1_CD80*delta.GW*delta.MX/Volume_PNT-Receptor_Int-koff_PDL1_CD80*delta.GT,-Lymph_Node.PNT_Int_CD80  = - Lymph_Node.mAPC_Int_P2_PDL1  =  Lymph_Node.[PNT_CD80-PDL1] = [kon_PDL1_CD80]*Lymph_Node.PNT_Int_CD80*Lymph_Node.mAPC_Int_P2_PDL1/[Volume_PNT-Receptor_Int]-[koff_PDL1_CD80]*Lymph_Node.[PNT_CD80-PDL1],-delta.GW  = - delta.MX  =  delta.GT = kon_PDL1_CD80*delta.GW*delta.MX/Volume_PNT-Receptor_Int-koff_PDL1_CD80*delta.GT
146,Lymph_Node.PNT_Int_CD80 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_CD80+[PNT_CD80-PDL1]),CD80 expression threshold on Primed Naive T cells for interaction with mAPCs in the lymph node,delta.GW -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.GW+GT),-Lymph_Node.PNT_Int_CD80  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_CD80+[PNT_CD80-PDL1]),-delta.GW  =  Exp_CD28/80/86/PD1/L1/L2*(delta.GW+GT)
