reaction number,reaction,reaction rate,simplified_reaction
115,Lymph_Node.mAPC_Int_P2_CD80 + Lymph_Node.PNT_Int_PDL1 <-> Lymph_Node.[PNT_PDL1-CD80],[kon_PDL1_CD80]*Lymph_Node.mAPC_Int_P2_CD80*Lymph_Node.PNT_Int_PDL1/[Volume_PNT-Receptor_Int]-[koff_PDL1_CD80]*Lymph_Node.[PNT_PDL1-CD80],delta.MU + delta.GY <-> delta.[HB]
116,Lymph_Node.mAPC_Int_P2_CD80 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_CD80+NEG_Sig_PNT_CD80+POS_Sig_PNT_CD80+[PNT_PDL1-CD80]),delta.MU -> null
117,Lymph_Node.mAPC_Int_P2_CD86 + Lymph_Node.PNT_CTLA4 <-> Lymph_Node.NEG_Sig_PNT_CD86,[kon_CTLA4_CD86]*Lymph_Node.mAPC_Int_P2_CD86*Lymph_Node.PNT_CTLA4/([Volume_PNT-Receptor_Int])-[koff_CTLA4_CD86]*Lymph_Node.NEG_Sig_PNT_CD86,delta.MV + delta.GU <-> delta.EL
118,Lymph_Node.mAPC_Int_P2_CD86 + Lymph_Node.PNT_Int_CD28 <-> Lymph_Node.POS_Sig_PNT_CD86,[kon_CD28_CD86]*Lymph_Node.mAPC_Int_P2_CD86*Lymph_Node.PNT_Int_CD28/([Volume_PNT-Receptor_Int])-[koff_CD28_CD86]*Lymph_Node.POS_Sig_PNT_CD86,delta.MV + delta.GV <-> delta.HG
119,Lymph_Node.mAPC_Int_P2_CD86 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_CD86+NEG_Sig_PNT_CD86+POS_Sig_PNT_CD86),delta.MV -> null
120,Lymph_Node.mAPC_Int_P2_PD1 + Lymph_Node.PD1_mab <-> Lymph_Node.PD1mAb_mAPC_PD1,[kon_PD1-PD1mAb]*Lymph_Node.mAPC_Int_P2_PD1*Lymph_Node.PD1_mab/Vtdln-[koff_PD1-PD1mAb]*[PD1mAb_mAPC_PD1],delta.MW + delta.FD <-> delta.FN
121,Lymph_Node.mAPC_Int_P2_PD1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_PD1+PD1mAb_mAPC_PD1+[PNT_PDL1-PD1]),delta.MW -> null
122,Lymph_Node.mAPC_Int_P2_PDL1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_PDL1+[PDL1mAb-mAPC_PDL1]+[PNT_PD1-PDL1]+[PNT_CD80-PDL1]),delta.MX -> null
123,Lymph_Node.mAPC_Int_P2_PDL2 + Lymph_Node.PNT_Int_PD1 <-> Lymph_Node.[PNT_PD1-PDL2],[kon_PD1_PDL2]*Lymph_Node.mAPC_Int_P2_PDL2*Lymph_Node.PNT_Int_PD1/[Volume_PNT-Receptor_Int]-[koff_PD1_PDL2]*Lymph_Node.[PNT_PD1-PDL2],delta.MY + delta.GX <-> delta.[HA]
124,Lymph_Node.mAPC_Int_P2_PDL2 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.mAPC_Int_P2_PDL2+[PNT_PD1-PDL2]),delta.MY -> null
125,Lymph_Node.mAPC_PD1 -> null,Exp_All_mAPCLN*Lymph_Node.mAPC_PD1,delta.MZ -> null
126,Lymph_Node.mAPC_PDL1 -> null,Exp_All_mAPCLN*Lymph_Node.mAPC_PDL1,delta.NA -> null
127,Lymph_Node.mAPC_PDL2 -> null,Exp_All_mAPCLN*Lymph_Node.mAPC_PDL2,delta.NB -> null
128,Lymph_Node.Naive_T -> Lymph_Node.Naive_T1,PrimeNT_rate*Lymph_Node.Naive_T*[Prob_NT-mAPC_Interact]*[Sig_NT=CD28],delta.EO -> delta.EQ
129,Lymph_Node.Naive_T -> null,EffT_InOutLN*Lymph_Node.Naive_T,delta.EO -> null
130,Lymph_Node.Naive_T1 -> Lymph_Node.Naive_T,PrimeNT1_rate*Lymph_Node.Naive_T1*(1/Antigen_Intensity)*((mAPC_Int_P1)/(mAPC_Int_P1+Naive_T1*mAPC50_per_T_cell+0.001*mole)),delta.EQ -> delta.EO
131,Lymph_Node.Naive_T1 -> Lymph_Node.Primed_Naive_T,PrimeNT1_rate*Lymph_Node.Naive_T1*Antigen_Intensity*((mAPC_Int_P1)/(mAPC_Int_P1+Naive_T1*mAPC50_per_T_cell+0.001*mole)),delta.EQ -> delta.HH
132,Lymph_Node.NEG_Sig_PNT_CD80 -> null,Endo_CTLA4*Lymph_Node.NEG_Sig_PNT_CD80,delta.EK -> null
133,Lymph_Node.NEG_Sig_PNT_CD86 -> null,Endo_CTLA4*Lymph_Node.NEG_Sig_PNT_CD86,delta.EL -> null
134,Lymph_Node.NT_Int_CD28 + Lymph_Node.mAPC_Int_P1_CD80 <-> Lymph_Node.POS_Sig_NT_CD80,[kon_CD28_CD80]*Lymph_Node.NT_Int_CD28*Lymph_Node.mAPC_Int_P1_CD80/[Volume_NT-Receptor_Int] -[koff_CD28_CD80]*Lymph_Node.POS_Sig_NT_CD80,delta.EN + delta.MR <-> delta.HD
135,Lymph_Node.NT_Int_CD28 + Lymph_Node.mAPC_Int_P1_CD86 <-> Lymph_Node.POS_Sig_NT_CD86,[kon_CD28_CD86]*Lymph_Node.NT_Int_CD28*Lymph_Node.mAPC_Int_P1_CD86/[Volume_NT-Receptor_Int] -[koff_CD28_CD86]*Lymph_Node.POS_Sig_NT_CD86,delta.EN + delta.MS <-> delta.HE
136,Lymph_Node.NT_Int_CD28 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.NT_Int_CD28+POS_Sig_NT_CD80+POS_Sig_NT_CD86),delta.EN -> null
137,Lymph_Node.NT1_Int1 -> Lymph_Node.NT1_Int1 + Lymph_Node.NT_Int_CD28,[Exp_CD28/80/86/PD1/L1/L2]*(([CD28_receptors-per-Tcell]/[Avagadro's_Num]))*(mAPC_Int_P1/(mAPC_per_T_cell)),delta.EM -> delta.EM + delta.EN
138,Lymph_Node.PD1_mab -> [Blood-Lymph].PD1_mabb,Q_L/VL*Lymph_Node.PD1_mab,delta.FD -> alpha.FJ
139,Lymph_Node.PDL1_mab -> [Blood-Lymph].PDL1_mabb,Q_L/VL*Lymph_Node.PDL1_mab,delta.GB -> alpha.GH
140,Lymph_Node.PDL1_mab + Lymph_Node.mAPC_Int_P2_PDL1 <-> Lymph_Node.[PDL1mAb-mAPC_PDL1],[kon_PDL1-PDL1mAb]*Lymph_Node.PDL1_mab*Lymph_Node.mAPC_Int_P2_PDL1/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.[PDL1mAb-mAPC_PDL1],delta.GB + delta.MX <-> delta.[GL]
141,Lymph_Node.PDL1_mab + Lymph_Node.PNT_Int_PDL1 <-> Lymph_Node.[PDL1mAb-PNT_PDL1],[kon_PDL1-PDL1mAb]*Lymph_Node.PDL1_mab*Lymph_Node.PNT_Int_PDL1/Vtdln - [koff_PDL1-PDL1mAb]*Lymph_Node.[PDL1mAb-PNT_PDL1],delta.GB + delta.GY <-> delta.[GK]
142,Lymph_Node.PNT_CTLA4 -> null,[Exp_CTLA4]*(Lymph_Node.PNT_CTLA4+NEG_Sig_PNT_CD80+[NEG_Sig_PNT_CD86]+[CTLA4_mAb_CTLA4]),delta.GU -> null
143,Lymph_Node.PNT_Int_CD28 + Lymph_Node.mAPC_Int_P2_CD80 <-> Lymph_Node.POS_Sig_PNT_CD80,[kon_CD28_CD80]*Lymph_Node.PNT_Int_CD28*Lymph_Node.mAPC_Int_P2_CD80/([Volume_PNT-Receptor_Int])-[koff_CD28_CD80]*Lymph_Node.POS_Sig_PNT_CD80,delta.GV + delta.MU <-> delta.HF
144,Lymph_Node.PNT_Int_CD28 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_CD28+POS_Sig_PNT_CD80+POS_Sig_PNT_CD86),delta.GV -> null
145,Lymph_Node.PNT_Int_CD80 + Lymph_Node.mAPC_Int_P2_PDL1 <-> Lymph_Node.[PNT_CD80-PDL1],[kon_PDL1_CD80]*Lymph_Node.PNT_Int_CD80*Lymph_Node.mAPC_Int_P2_PDL1/[Volume_PNT-Receptor_Int]-[koff_PDL1_CD80]*Lymph_Node.[PNT_CD80-PDL1],delta.GW + delta.MX <-> delta.[GT]
146,Lymph_Node.PNT_Int_CD80 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_CD80+[PNT_CD80-PDL1]),delta.GW -> null
147,Lymph_Node.PNT_Int_PD1 + Lymph_Node.mAPC_Int_P2_PDL1 <-> Lymph_Node.[PNT_PD1-PDL1],[kon_PD1_PDL1]*Lymph_Node.PNT_Int_PD1*Lymph_Node.mAPC_Int_P2_PDL1/[Volume_PNT-Receptor_Int]-[koff_PD1_PDL1]*Lymph_Node.[PNT_PD1-PDL1],delta.GX + delta.MX <-> delta.[GZ]
148,Lymph_Node.PNT_Int_PD1 + Lymph_Node.PD1_mab <-> Lymph_Node.PD1mAb_PNT_PD1,[kon_PD1-PD1mAb]*Lymph_Node.PNT_Int_PD1*Lymph_Node.PD1_mab/Vtdln-[koff_PD1-PD1mAb]*[PD1mAb_PNT_PD1],delta.GX + delta.FD <-> delta.FM
149,Lymph_Node.PNT_Int_PD1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_PD1+PD1mAb_PNT_PD1+[PNT_PD1-PDL2]+[PNT_PD1-PDL1]),delta.GX -> null
150,Lymph_Node.PNT_Int_PDL1 + Lymph_Node.mAPC_Int_P2_PD1 <-> Lymph_Node.[PNT_PDL1-PD1],[kon_PD1_PDL1]*Lymph_Node.PNT_Int_PDL1*Lymph_Node.mAPC_Int_P2_PD1/[Volume_PNT-Receptor_Int]-[koff_PD1_PDL1]*Lymph_Node.[PNT_PDL1-PD1],delta.GY + delta.MW <-> delta.[HC]
151,Lymph_Node.PNT_Int_PDL1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_PDL1+[PDL1mAb-PNT_PDL1]+[PNT_PDL1-CD80]+[PNT_PDL1-PD1]),delta.GY -> null
152,Lymph_Node.PNT1_Int -> Lymph_Node.PNT_CTLA4 + Lymph_Node.PNT1_Int,[Exp_CTLA4]*(([CTLA4_receptors-Int-PNT]/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),delta.GP -> delta.GU + delta.GP
153,Lymph_Node.PNT1_Int -> Lymph_Node.PNT_Int_CD28 + Lymph_Node.PNT1_Int,[Exp_CD28/80/86/PD1/L1/L2]*(([CD28_receptors-per-Tcell]/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),delta.GP -> delta.GV + delta.GP
154,Lymph_Node.PNT1_Int -> Lymph_Node.PNT_Int_CD80 + Lymph_Node.PNT1_Int,[Exp_CD28/80/86/PD1/L1/L2]*((([%CD80_receptor_level_PNT]*[CD80_receptors-per-Tcell])/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),delta.GP -> delta.GW + delta.GP
155,Lymph_Node.PNT1_Int -> Lymph_Node.PNT1_Int + Lymph_Node.PNT_Int_PD1,[Exp_CD28/80/86/PD1/L1/L2]*((([%PD1_receptor_level_PNT]*[PD1_receptors-per-Tcell])/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),delta.GP -> delta.GP + delta.GX
156,Lymph_Node.PNT1_Int -> Lymph_Node.PNT1_Int + Lymph_Node.PNT_Int_PDL1,[Exp_CD28/80/86/PD1/L1/L2]*((([%PDL1_receptor_level_PNT]*[PDL1_receptors-per-Tcell])/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),delta.GP -> delta.GP + delta.GY
157,Lymph_Node.Primed_Naive_T -> Lymph_Node.Primed_Naive_T1,kf_Phase2P*Lymph_Node.Primed_Naive_T*[Prob_PNT-mAPC_Interact],delta.HH -> delta.HI
158,Lymph_Node.Primed_Naive_T1 -> Lymph_Node.Anergic_Naive_T,kf_no_prolif*Lymph_Node.Primed_Naive_T1*[Sig_PNT=CTLA4/PD1/L1/CD80],delta.HI -> delta.AC
159,Lymph_Node.Primed_Naive_T1 -> Lymph_Node.Primed_Naive_T,PrimeTLN2_rate*Lymph_Node.Primed_Naive_T1*(1/Antigen_Intensity)*((mAPC_Int_P2)/(mAPC_Int_P2+Primed_Naive_T1*mAPC50_per_T_cell+0.001*mole)),delta.HI -> delta.HH
160,Lymph_Node.Primed_Naive_T1 -> Lymph_Node.Prolif_Naive_T,PrimeTLN2_rate*Lymph_Node.Primed_Naive_T1*(1-[Sig_PNT=CTLA4/PD1/L1/CD80])*Antigen_Intensity*((mAPC_Int_P2)/(mAPC_Int_P2 +Primed_Naive_T1*mAPC50_per_T_cell +0.001*mole)),delta.HI -> delta.HK
161,Lymph_Node.Prolif_Naive_T -> Lymph_Node.Effector_T,kf_Prolif_end*Lymph_Node.Prolif_Naive_T,delta.HK -> delta.DY
162,Lymph_Node.Prolif_Naive_T -> null,Lymph_Node.Prolif_Naive_T*[Prolif_Thresh],delta.HK -> null
163,Lymph_Node.TrALN_CT_aCT -> null,Endo_CTLA4*Lymph_Node.TrALN_CT_aCT,delta.LE -> null
164,Lymph_Node.TrALN_CT_CD80 -> null,Endo_CTLA4*Lymph_Node.TrALN_CT_CD80,delta.LC -> null
165,Lymph_Node.TrALN_CT_CD86 -> null,Endo_CTLA4*Lymph_Node.TrALN_CT_CD86,delta.LD -> null
166,Lymph_Node.TregLN -> Lymph_Node.TregLN + Lymph_Node.TrLN_CTLA4,[Exp_CTLA4]*Lymph_Node.TregLN*([CTLA4_receptors-Tr]/[Avagadro's_Num]),delta.LM -> delta.LM + delta.LF
167,Lymph_Node.TregLN + Lymph_Node.mAPC1 -> Lymph_Node.TregLN_mAPC + Lymph_Node.TregLN + Lymph_Node.mAPC1,TregLN_Engage*Lymph_Node.mAPC1*(( Lymph_Node.TregLN /(Lymph_Node.mAPC1 + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Lymph_Node.TregLN /(Lymph_Node.mAPC1 + 1E-100*mole))^gamma_TC_Assoc),delta.LM + delta.MM -> delta.LQ + delta.LM + delta.MM
168,Lymph_Node.TregLN + Lymph_Node.Naive_T2 -> Lymph_Node.[TregLN-NT] + Lymph_Node.TregLN + Lymph_Node.Naive_T2,TregLN_Engage*Lymph_Node.Naive_T2*(( Lymph_Node.TregLN /(Lymph_Node.Naive_T2 + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Lymph_Node.TregLN /(Lymph_Node.Naive_T2 + 1E-100*mole))^gamma_TC_Assoc),delta.LM + delta.ER -> delta.[LM-NT] + delta.LM + delta.ER
169,Lymph_Node.TregLN + Lymph_Node.Primed_Naive_T2 -> Lymph_Node.[TregLN-PNT] + Lymph_Node.TregLN + Lymph_Node.Primed_Naive_T2,TregLN_Engage* Lymph_Node.Primed_Naive_T2*((Lymph_Node.TregLN /(Lymph_Node.Primed_Naive_T2+ 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Lymph_Node.TregLN /(Lymph_Node.Primed_Naive_T2+ 1E-100*mole))^gamma_TC_Assoc),delta.LM + delta.HJ -> delta.[LM-PNT] + delta.LM + delta.HJ
170,Lymph_Node.TregLN_mAPC + Lymph_Node.mAPC -> null,[Treg:mAPC_IntTime]*Lymph_Node.TregLN_mAPC*(1-[CTLA4Sig_TrLN-mAPC]),delta.LQ + delta.ML -> null
171,Lymph_Node.TregLN_mAPC -> null,[Treg:mAPC_IntTime]*Lymph_Node.TregLN_mAPC*([CTLA4Sig_TrLN-mAPC]),delta.LQ -> null
172,Lymph_Node.TregLN_mAPC1 -> Lymph_Node.[Tr-mAPC_CD80] + Lymph_Node.TregLN_mAPC1,[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.TregLN_mAPC1*([CD80_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),delta.LR -> delta.[KZ] + delta.LR
173,Lymph_Node.TregLN_mAPC1 -> Lymph_Node.[Tr-mAPC_CD86] + Lymph_Node.TregLN_mAPC1,[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.TregLN_mAPC1*([CD86_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),delta.LR -> delta.[LA] + delta.LR
174,Lymph_Node.TregLN_mAPC1 -> Lymph_Node.[Tr-mAPC_CTLA4] + Lymph_Node.TregLN_mAPC1,[Exp_CTLA4]*Lymph_Node.TregLN_mAPC1*([CTLA4_receptors-Tr]/[Avagadro's_Num])*(1/mAPC_per_Tr_cell),delta.LR -> delta.[LB] + delta.LR
175,Lymph_Node.TrLN_CTLA4 + Lymph_Node.CTLA4_mab <-> Lymph_Node.TrLN_CT_aCT,kon_CTLA4mAb_CTLA4*Lymph_Node.TrLN_CTLA4*Lymph_Node.CTLA4_mab/Vtdln -koff_CTLA4mAb_CTLA4*Lymph_Node.TrLN_CT_aCT,delta.LF + delta.CD <-> delta.LG
176,Lymph_Node.TrLN_CTLA4 -> null,[Exp_CTLA4]*(Lymph_Node.TrLN_CTLA4+[TrLN_CT_aCT]),delta.LF -> null
177,null -> [Blood-Lymph].CTLA4_mabB,(k__DoseAdmin_AntiCTLA4*[BodyWeight (kg)]*CTLA4mAb)/(Ipilimumab_MW),null -> alpha.CE
178,null -> [Blood-Lymph].PD1_mabb,([BodyWeight (kg)]*PD1mAb)/(Nivolumab_MW)/T_IVinject,null -> alpha.FJ
179,null -> [Blood-Lymph].PDL1_mabb,(k__DoseAdmin_AntiPDL1*[BodyWeight (kg)]*PDL1mAb)/(Durvalumab_MW),null -> alpha.GH
180,null -> Lymph_Node.Naive_T,EffT_InOutLN*Lymph_Node.Naive_T0,null -> delta.EO
181,null -> Lymph_Node.Prolif_Naive_T,Lymph_Node.Prolif_Naive_T*[Prolif_Fract],null -> delta.HK
182,null -> Tumor.APC_T,kf_Monocytes_intoT*Monocytes,null -> zeta.AB
183,null -> Tumor.Cancer,Rate_Tumor_Growth*Tumor.Cancer,null -> zeta.CO
184,Peripheral.CTLA4_mabP_leaky <-> Lymph_Node.CTLA4_mab,(Peripheral.CTLA4_mabP_leaky/(0.35*ISF*KP_PD1))*0.67*Q_L*(1-SigmaL)-Lymph_Node.CTLA4_mab*0.67*Q_L*(1-SigmaL)/VL,epsilon.CG <-> delta.CD
185,Peripheral.CTLA4_mabP_tight <-> Lymph_Node.CTLA4_mab,(Peripheral.CTLA4_mabP_tight/(0.65*ISF*KP_PD1))*0.33*Q_L*(1-SigmaL)-Lymph_Node.CTLA4_mab*0.33*Q_L*(1-SigmaL)/VL,epsilon.CH <-> delta.CD
186,Peripheral.EffT_P_f_Vasc -> Lungs.EffT_f_LungsVasc,(QC_Periph - LC_Periph)*Peripheral.EffT_P_f_Vasc/Vv_Periph,epsilon.DP -> beta.DV
187,Peripheral.EffT_P_f_Vasc -> null,EffT_Turnover*Peripheral.EffT_P_f_Vasc,epsilon.DP -> null
188,Peripheral.PD1_mabP_leaky <-> Lymph_Node.PD1_mab,(Peripheral.PD1_mabP_leaky/(0.35*ISF*KP_PD1))*0.67*Q_L*(1-SigmaL)-Lymph_Node.PD1_mab*0.67*Q_L*(1-SigmaL)/VL,epsilon.FG <-> delta.FD
189,Peripheral.PD1_mabP_tight <-> Lymph_Node.PD1_mab,(Peripheral.PD1_mabP_tight/(0.65*ISF*KP_PD1))*0.33*Q_L*(1-SigmaL)-Lymph_Node.PD1_mab*0.33*Q_L*(1-SigmaL)/VL,epsilon.FH <-> delta.FD
190,Peripheral.PDL1_mabP_leaky <-> Lymph_Node.PDL1_mab,(Peripheral.PDL1_mabP_leaky/(0.35*ISF*KP_PDL1))*0.67*Q_L*(1-SigmaL)-Lymph_Node.PDL1_mab*0.67*Q_L*(1-SigmaL)/VL,epsilon.GE <-> delta.GB
191,Peripheral.PDL1_mabP_tight <-> Lymph_Node.PDL1_mab,(Peripheral.PDL1_mabP_tight/(0.65*ISF*KP_PDL1))*0.33*Q_L*(1-SigmaL)-Lymph_Node.PDL1_mab*0.33*Q_L*(1-SigmaL)/VL,epsilon.GF <-> delta.GB
192,Tumor.[C{CD80}] -> Tumor.[C{CD80}] + Tumor.[C5=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{CD80}] -> zeta.[C{CD80}] + zeta.[BH]
193,Tumor.[C{PD1}] -> Tumor.[C2=PD1] + Tumor.[C{PD1}],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}]*([PD1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}] -> zeta.[BC] + zeta.[C{PD1}]
194,Tumor.[C{PD1}{CD80}] -> Tumor.[C{PD1}{CD80}] + Tumor.[C9a=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{CD80}]*([PD1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{CD80}] -> zeta.[C{PD1}{CD80}] + zeta.[BQ]
195,Tumor.[C{PD1}{CD80}] -> Tumor.[C{PD1}{CD80}] + Tumor.[C9b=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{CD80}] -> zeta.[C{PD1}{CD80}] + zeta.[BS]
196,Tumor.[C{PD1}{PDL1}] -> Tumor.[C6a=PD1] + Tumor.[C{PD1}{PDL1}],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}]*([PD1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}] -> zeta.[BI] + zeta.[C{PD1}{PDL1}]
197,Tumor.[C{PD1}{PDL1}] -> Tumor.[C6b=PDL1] + Tumor.[C{PD1}{PDL1}],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}] -> zeta.[BK] + zeta.[C{PD1}{PDL1}]
198,Tumor.[C{PD1}{PDL1}{CD80}] -> Tumor.[C{PD1}{PDL1}{CD80}] + Tumor.[C14a=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}{CD80}]*([PD1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}{CD80}] -> zeta.[C{PD1}{PDL1}{CD80}] + zeta.[AO]
199,Tumor.[C{PD1}{PDL1}{CD80}] -> Tumor.[C{PD1}{PDL1}{CD80}] + Tumor.[C14b=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}{CD80}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}{CD80}] -> zeta.[C{PD1}{PDL1}{CD80}] + zeta.[AQ]
200,Tumor.[C{PD1}{PDL1}{CD80}] -> Tumor.[C{PD1}{PDL1}{CD80}] + Tumor.[C14c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}{CD80}] -> zeta.[C{PD1}{PDL1}{CD80}] + zeta.[AR]
201,Tumor.[C{PD1}{PDL1}{PDL2}] -> Tumor.[C{PD1}{PDL1}{PDL2}] + Tumor.[C10a=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}{PDL2}]*([PD1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}{PDL2}] -> zeta.[C{PD1}{PDL1}{PDL2}] + zeta.[AD]
202,Tumor.[C{PD1}{PDL1}{PDL2}] -> Tumor.[C{PD1}{PDL1}{PDL2}] + Tumor.[C10b=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}{PDL2}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}{PDL2}] -> zeta.[C{PD1}{PDL1}{PDL2}] + zeta.[AF]
203,Tumor.[C{PD1}{PDL1}{PDL2}] -> Tumor.[C{PD1}{PDL1}{PDL2}] + Tumor.[C10c=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}{PDL2}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}{PDL2}] -> zeta.[C{PD1}{PDL1}{PDL2}] + zeta.[AG]
204,Tumor.[C{PD1}{PDL1}{PDL2}{CD80}] -> Tumor.[C{PD1}{PDL1}{PDL2}{CD80}] + Tumor.[C16a=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}{PDL2}{CD80}]*([PD1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}{PDL2}{CD80}] -> zeta.[C{PD1}{PDL1}{PDL2}{CD80}] + zeta.[AW]
205,Tumor.[C{PD1}{PDL1}{PDL2}{CD80}] -> Tumor.[C{PD1}{PDL1}{PDL2}{CD80}] + Tumor.[C16b=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}{PDL2}{CD80}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}{PDL2}{CD80}] -> zeta.[C{PD1}{PDL1}{PDL2}{CD80}] + zeta.[AY]
206,Tumor.[C{PD1}{PDL1}{PDL2}{CD80}] -> Tumor.[C{PD1}{PDL1}{PDL2}{CD80}] + Tumor.[C16c=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}{PDL2}{CD80}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}{PDL2}{CD80}] -> zeta.[C{PD1}{PDL1}{PDL2}{CD80}] + zeta.[BA]
207,Tumor.[C{PD1}{PDL1}{PDL2}{CD80}] -> Tumor.[C{PD1}{PDL1}{PDL2}{CD80}] + Tumor.[C16d=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL1}{PDL2}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max]),zeta.[C{PD1}{PDL1}{PDL2}{CD80}] -> zeta.[C{PD1}{PDL1}{PDL2}{CD80}] + zeta.[BB]
